trial,circuit_type,S_subsystem,p_log,log_p_log,duration,n_measurements,is_measurement_heavy
302,unitary,0.0832827573454954,0.039,-3.2441936328524905,6.099999999999999,2,0
303,measurement,0.0582707661654179,0.09,-2.4079456086518722,16.5,6,1
304,unitary,0.0832827573454954,0.045,-3.101092789211817,6.099999999999999,2,0
305,measurement,0.0582707661654179,0.1,-2.3025850929940455,16.5,6,1
306,unitary,0.0832827573454954,0.043,-3.146555163288575,6.099999999999999,2,0
307,measurement,0.0582707661654179,0.103,-2.2730262907525014,16.5,6,1
308,unitary,0.0832827573454954,0.037,-3.2968373663379125,6.099999999999999,2,0
309,measurement,0.0582707661654179,0.087,-2.4418471603275536,16.5,6,1
310,unitary,0.0832827573454954,0.044,-3.123565645063876,6.099999999999999,2,0
311,measurement,0.0582707661654179,0.101,-2.2926347621408776,16.5,6,1
312,unitary,0.0832827573454954,0.039,-3.2441936328524905,6.099999999999999,2,0
313,measurement,0.0582707661654179,0.127,-2.0635681925235456,16.5,6,1
314,unitary,0.0832827573454954,0.037,-3.2968373663379125,6.099999999999999,2,0
315,measurement,0.0582707661654179,0.091,-2.396895772465287,16.5,6,1
316,unitary,0.0832827573454954,0.038,-3.270169119255751,6.099999999999999,2,0
317,measurement,0.0582707661654179,0.106,-2.24431618487007,16.5,6,1
318,unitary,0.0832827573454954,0.038,-3.270169119255751,6.099999999999999,2,0
319,measurement,0.0582707661654179,0.087,-2.4418471603275536,16.5,6,1
320,unitary,0.0832827573454954,0.04,-3.2188758248682006,6.099999999999999,2,0
321,measurement,0.0582707661654179,0.099,-2.312635428847547,16.5,6,1
322,unitary,0.0832827573454954,0.039,-3.2441936328524905,6.099999999999999,2,0
323,measurement,0.0582707661654179,0.101,-2.2926347621408776,16.5,6,1
324,unitary,0.0832827573454954,0.034,-3.3813947543659757,6.099999999999999,2,0
325,measurement,0.0582707661654179,0.091,-2.396895772465287,16.5,6,1
326,unitary,0.0832827573454954,0.04,-3.2188758248682006,6.099999999999999,2,0
327,measurement,0.0582707661654179,0.112,-2.1892564076870427,16.5,6,1
328,unitary,0.0832827573454954,0.037,-3.2968373663379125,6.099999999999999,2,0
329,measurement,0.0582707661654179,0.105,-2.2537949288246137,16.5,6,1
330,unitary,0.0832827573454954,0.04,-3.2188758248682006,6.099999999999999,2,0
