trial,entropy_type,Delta_S,p_log,log_p_log,duration,qubit_count,gate_count
562,low,1.110223024625156e-15,0.729,-0.31608154697347896,3.9499999999999993,5,11
563,high,0.6931471805599454,0.035,-3.3524072174927233,4.45,5,11
564,low,1.110223024625156e-15,0.753,-0.2836900511822435,3.9499999999999993,5,11
565,high,0.6931471805599454,0.049,-3.0159349808715104,4.45,5,11
566,low,1.110223024625156e-15,0.757,-0.2783920255446883,3.9499999999999993,5,11
567,high,0.6931471805599454,0.057,-2.864704011147587,4.45,5,11
568,low,1.110223024625156e-15,0.742,-0.2984060358147566,3.9499999999999993,5,11
569,high,0.6931471805599454,0.031,-3.473768074496991,4.45,5,11
570,low,1.110223024625156e-15,0.743,-0.2970592342643779,3.9499999999999993,5,11
571,high,0.6931471805599454,0.052,-2.9565115604007097,4.45,5,11
572,low,1.110223024625156e-15,0.746,-0.2930296787783762,3.9499999999999993,5,11
573,high,0.6931471805599454,0.054,-2.9187712324178627,4.45,5,11
574,low,1.110223024625156e-15,0.771,-0.26006690541880756,3.9499999999999993,5,11
575,high,0.6931471805599454,0.043,-3.146555163288575,4.45,5,11
576,low,1.110223024625156e-15,0.764,-0.2691874898156165,3.9499999999999993,5,11
577,high,0.6931471805599454,0.037,-3.2968373663379125,4.45,5,11
578,low,1.110223024625156e-15,0.741,-0.2997546536860502,3.9499999999999993,5,11
579,high,0.6931471805599454,0.052,-2.9565115604007097,4.45,5,11
580,low,1.110223024625156e-15,0.758,-0.2770718933397654,3.9499999999999993,5,11
581,high,0.6931471805599454,0.046,-3.079113882493042,4.45,5,11
582,low,1.110223024625156e-15,0.725,-0.32158362412746233,3.9499999999999993,5,11
583,high,0.6931471805599454,0.047,-3.0576076772720784,4.45,5,11
584,low,1.110223024625156e-15,0.755,-0.28103752973311236,3.9499999999999993,5,11
585,high,0.6931471805599454,0.049,-3.0159349808715104,4.45,5,11
586,low,1.110223024625156e-15,0.751,-0.28634962721800233,3.9499999999999993,5,11
587,high,0.6931471805599454,0.042,-3.170085660698769,4.45,5,11
588,low,1.110223024625156e-15,0.772,-0.25877072895736086,3.9499999999999993,5,11
589,high,0.6931471805599454,0.047,-3.0576076772720784,4.45,5,11
590,low,1.110223024625156e-15,0.744,-0.2957142441490452,3.9499999999999993,5,11
591,high,0.6931471805599454,0.048,-3.036554268074246,4.45,5,11
592,low,1.110223024625156e-15,0.771,-0.26006690541880756,3.9499999999999993,5,11
593,high,0.6931471805599454,0.04,-3.2188758248682006,4.45,5,11
594,low,1.110223024625156e-15,0.728,-0.3174542307854511,3.9499999999999993,5,11
595,high,0.6931471805599454,0.039,-3.2441936328524905,4.45,5,11
596,low,1.110223024625156e-15,0.754,-0.282362910974181,3.9499999999999993,5,11
597,high,0.6931471805599454,0.042,-3.170085660698769,4.45,5,11
598,low,1.110223024625156e-15,0.737,-0.3051673867928005,3.9499999999999993,5,11
599,high,0.6931471805599454,0.04,-3.2188758248682006,4.45,5,11
600,low,1.110223024625156e-15,0.756,-0.27971390280260405,3.9499999999999993,5,11
601,high,0.6931471805599454,0.053,-2.9374633654300153,4.45,5,11
602,low,1.110223024625156e-15,0.749,-0.2890162954649176,3.9499999999999993,5,11
603,high,0.6931471805599454,0.045,-3.101092789211817,4.45,5,11
604,low,1.110223024625156e-15,0.744,-0.2957142441490452,3.9499999999999993,5,11
605,high,0.6931471805599454,0.046,-3.079113882493042,4.45,5,11
606,low,1.110223024625156e-15,0.753,-0.2836900511822435,3.9499999999999993,5,11
607,high,0.6931471805599454,0.04,-3.2188758248682006,4.45,5,11
608,low,1.110223024625156e-15,0.747,-0.29169009384931976,3.9499999999999993,5,11
609,high,0.6931471805599454,0.055,-2.900422093749666,4.45,5,11
610,low,1.110223024625156e-15,0.763,-0.27049724769768,3.9499999999999993,5,11
611,high,0.6931471805599454,0.058,-2.8473122684357177,4.45,5,11
612,low,1.110223024625156e-15,0.763,-0.27049724769768,3.9499999999999993,5,11
613,high,0.6931471805599454,0.059,-2.8302178350764176,4.45,5,11
614,low,1.110223024625156e-15,0.752,-0.28501895503229724,3.9499999999999993,5,11
615,high,0.6931471805599454,0.054,-2.9187712324178627,4.45,5,11
616,low,1.110223024625156e-15,0.769,-0.26266430947649305,3.9499999999999993,5,11
617,high,0.6931471805599454,0.037,-3.2968373663379125,4.45,5,11
618,low,1.110223024625156e-15,0.742,-0.2984060358147566,3.9499999999999993,5,11
619,high,0.6931471805599454,0.055,-2.900422093749666,4.45,5,11
620,low,1.110223024625156e-15,0.728,-0.3174542307854511,3.9499999999999993,5,11
621,high,0.6931471805599454,0.05,-2.995732273553991,4.45,5,11
622,low,1.110223024625156e-15,0.766,-0.26657310924154576,3.9499999999999993,5,11
623,high,0.6931471805599454,0.05,-2.995732273553991,4.45,5,11
624,low,1.110223024625156e-15,0.758,-0.2770718933397654,3.9499999999999993,5,11
625,high,0.6931471805599454,0.038,-3.270169119255751,4.45,5,11
